print_issn	online_issn	pid_issn	collection	pid	yop	year_month_day	total_item_requests	total_item_investigations	unique_item_requests	unique_item_investigations
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300005	2005	2024-05-26	13	16	13	16
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100020	2009	2024-05-26	9	10	8	9
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200012	2009	2024-05-26	8	9	8	9
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200018	2009	2024-05-26	8	8	8	8
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300004	2005	2024-05-26	8	11	8	11
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200011	2009	2024-05-26	8	9	8	9
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200001	2009	2024-05-26	7	7	7	7
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200010	2009	2024-05-26	7	9	7	9
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300007	2005	2024-05-26	7	10	7	10
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200003	2009	2024-05-26	7	9	7	9
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400010	2008	2024-05-26	7	7	7	7
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300008	2005	2024-05-26	7	9	7	9
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000400008	2009	2024-05-26	7	7	7	7
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400009	2006	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000200009	2006	2024-05-26	6	7	6	7
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000100007	2010	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300003	2007	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100022	2009	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000100006	2010	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200002	2009	2024-05-26	6	7	6	7
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000100002	2010	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000200014	2007	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100021	2009	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000400010	2010	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000200001	2010	2024-05-26	6	6	6	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000200002	2010	2024-05-26	6	7	6	7
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200014	2009	2024-05-26	5	6	5	6
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100014	2009	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000200009	2005	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200004	2009	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000100016	2006	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000200015	2006	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300005	2007	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000300009	2009	2024-05-26	5	5	5	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000200010	2010	2024-05-26	4	4	4	4
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100015	2008	2024-05-26	3	4	3	4
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300002	2005	2024-05-26	2	5	2	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200015	2009	2024-05-26	2	3	2	3
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300001	2005	2024-05-26	2	5	2	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300009	2005	2024-05-26	2	4	2	4
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200005	2009	2024-05-26	2	4	2	4
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200008	2009	2024-05-26	2	3	2	3
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300006	2005	2024-05-26	2	5	2	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300010	2005	2024-05-26	2	2	2	2
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000300003	2005	2024-05-26	2	5	2	5
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000300001	2006	2024-05-26	2	2	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100005	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200016	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400004	2005	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100009	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000100014	2005	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200009	2009	2024-05-26	1	2	1	2
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000100019	2006	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200013	2009	2024-05-26	1	3	1	3
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400007	2008	2024-05-26	1	2	1	2
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000300010	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200006	2009	2024-05-26	1	3	1	3
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000200018	2006	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400002	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142010000300005	2010	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000200007	2006	2024-05-26	1	3	1	3
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400004	2006	2024-05-26	1	2	1	2
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000100004	2007	2024-05-26	1	3	1	3
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000200021	2007	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000100002	2007	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100004	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000400004	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400006	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400005	2006	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000300006	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400011	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300001	2007	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000100020	2007	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400002	2006	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000100005	2005	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200017	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100005	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200007	2009	2024-05-26	1	4	1	4
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100023	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100008	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400008	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400005	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000200006	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400007	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000200013	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400003	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000400006	2009	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300008	2007	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000200008	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000200006	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400004	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400006	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300006	2007	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000300003	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100007	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000100009	2006	2024-05-26	0	1	0	1
